identifier	name	reference_metabolomics_workbench	reference_pubchem	reference_kegg	reference_binbase
methionine	Methionine	ME053382	6137	C00073	45
myo-inositol	Myo-inositol	ME053380	892	C00137	1741
myristic acid	Myristic acid	ME017182	11005	C06424	127
nicotinamide	Niacinamide	ME053941	936	C00153	84542
N-methylalanine	N-methylalanine	ME053984	5288725	C02721	35
nonadecanoic acid	Nonadecylic acid	ME053983	12591	C16535	46258
octadecanol	Stearyl alcohol	ME017181	8221	D01924	997
oleic acid	Oleic acid	ME053893	445639	C00712	43
ornithine	Ornithine	ME053840	6262	C00077	1821
oxalic acid	Oxalic acid	ME053374	971	C00209	4923
oxoproline	Pyroglutamic acid	ME053838	7405	C01879	10
palmitic acid	Palmitic acid	ME053373	985	C00249	11
palmitoleic acid	Palmitoleic acid	ME017177	445638	C08362	96
p-cresol	P-Cresol	ME053833	2879	C01468	16321
pelargonic acid	Pelargonic acid	ME017175	8158	C01601	50
pentadecanoic acid	Pentadecylic acid	ME053982	13849	C16537	1680
phenylalanine	Phenylalanine	ME053370	6140	C00079	33
phosphoethanolamine	Phosphoethanolamine	ME053938	1015	C00346	41988
proline	Proline	ME053367	145742	C00148	8
propane-1,3-diol NIST	Propane-1,3-diol	ME053366	10442	C02457	282
pseudo uridine	Pseudouridine	ME053981	15047	C02067	1688
putrescine	Putrescine	ME053826	1045	C00138	21703
pyrophosphate	Pyrophosphate	ME053980	644102	C00013	1682
pyruvic acid	Pyruvic acid	ME053364	1060	C00022	583
ribose	Ribose	ME053363	5779	C00121	1662
salicylaldehyde	2-Hydroxybenzaldehyde	ME053979	6998	C06202	31381
serine	Serine	ME017170	5951	C00065	25
sorbitol	Sorbitol	ME053360	453	C00794	162
spermidine	Spermidine	ME053817	1102	C00315	1714
squalene	Squalene	ME053933	5280370	C00751	23042
stearic acid	Stearic acid	ME053816	5281	C01530	13
succinic acid	Succinic acid	ME053358	1110	C00042	161
sucrose	Sucrose	ME053357	5988	C00089	173
sulfuric acid	Trichilin A	ME053978	5462417	C00059	12266
taurine	Taurine	ME053356	1123	C00245	411
threonic acid	D-Threonic acid	ME053354	151152	C01620	172
threonine	Threonine	ME053353	6288	C00188	26
tocopherol alpha-	Retinal	ME017217	638015	C00376	100
tocopherol beta NIST	beta-tocopherol	ME053927	8989	C14152	42194
tocopherol gamma-	Gamma-tocopherol	ME053926	92729	C02483	4545
trans-4-hydroxyproline	cis-3-hydroxyproline	ME053977	11137200	C01157	598
tryptophan	Tryptophan	ME053350	6305	C00078	14
tyrosine	Tyrosine	ME017165	6057	C00082	16
UDP-glucuronic acid	UDP-glucuronic acid	ME053808	17473	C00167	7831
UDP-N-acetylglucosamine	UDP-N-acetylglucosamine	ME053976	445675	C00043	2546
uracil	Uracil	ME053806	1174	C00106	1664
urea	Urea	ME053925	1176	C00086	441
uric acid	Uric acid	ME053347	1175	C00366	23
uridine	Uridine	ME017209	6029	C00299	14815
valine	Valine	ME053804	6287	C00183	3
xanthine	Xanthine	ME017159	1188	C00385	1669
xylitol	Xylitol	ME053346	6912	C00379	5857
