identifier	name	reference_metabolomics_workbench	reference_pubchem	reference_kegg
IBUPROFEN CARBOXYLIC ACID (M-H)-	-	ME223322	10444113	-
IBUPROFEN (M-H)-	Ibuprofen	ME223333	114864	-
INOSINE 5'-PHOSPHATE (M-H)-	IMP	ME223278	8582	-
INOSINE (M+Cl)-	Inosine	ME223297	6021	-
INOSINE (M-H)-	Inosine	ME223298	6021	-
ISOCITRIC ACID (M-H)-	Isocitric acid	ME223337	5318532	-
L-[15N]ANTHRANILIC ACID [ISTD] (M-H)-	-	ME223316	227	-
LAURIC ACID (M-H)-	Lauric acid	ME223305	3893	-
LIGNOCERIC ACID (M-H)-	Lignoceric acid	ME223280	11197	-
LINOLEIC ACID (M-H)-	Linoleic acid	ME223321	5280450	-
L-TRYPTOPHAN-15N2 [ISTD] (M-H)-	Tryptophan	ME223293	16217285	-
MALEIC ACID (M-H)-	Maleic acid	ME223349	444266	-
MALIC ACID (M-H)-	Malic acid	ME223314	222656	-
MALIC ACID (M-H)+[-H2O]	Malic acid	ME223352	222656	-
MANDELIC ACID #2 (M-H)-	2-hydroxyphenylacetic acid	ME223311	11914	-
METHYLMALONIC ACID (M-H)-	Methylmalonic acid	ME223309	487	-
MYRISTIC ACID (M-H)-	Myristic acid	ME223270	11005	-
MYRISTOLEIC ACID (M-H)-	Myristoleic acid	ME223326	5281119	-
N-ACETYL-L-ALANINE (M-H)-	N-Acetyalanine	ME223306	88064	-
NAD (M-H)-	NAD+	ME223351	5893	-
NERVONIC ACID (M-H)-	Nervonic acid	ME223284	5281120	-
OLEOYL-GLYCEROL (M+HCOO)-	MG(18:1)	ME223318	5319879	-
OXALOACETIC ACID (M-H)-[-H2O]	Oxaloacetic acid	ME223339	970	-
PALMITIC ACID (M-H)-	Palmitic acid	ME223307	985	-
PALMITOLEIC ACID (M-H)-	Palmitoleic acid	ME223315	445638	-
PANTOTHENIC ACID (M+Cl)-	Pantothenic acid	ME223264	6613	-
PANTOTHENIC ACID (M-H)-	Pantothenic acid	ME223320	6613	-
PHENYLALANINE (M-H)-	Phenylalanine	ME223267	6140	-
PHOSPHOCREATINE (M-H)-	Phosphocreatine	ME223355	9548602	-
PHTHALIC ACID (M-H)-	Phthalic acid	ME223334	1017	-
PHYTANIC ACID (M-H)-	Phytanic acid	ME223261	10380830	-
PYRUVIC ACID (M-H)-	Pyruvic acid	ME223335	1060	-
RETINOIC ACID (M-H)-	Retinoic Acid	ME223308	444795	-
SALICYLATE #2 (M-H)-	Salicylic acid	ME223327	338	-
STEARIC ACID (M-H)-	Stearic acid	ME223275	5281	-
SUBERIC ACID (M-H)-	Suberic acid	ME223260	10457	-
SUCCINIC ACID (M-H)-	Succinic acid	ME223289	1110	-
THEOPHYLLINE (M-H)-	Theophylline	ME223263	2153	-
THYMINE-D4(METHYL-D3,6-D1) [ISTD] (M-H)-	-	ME223357	16213347	-
TRANS-ACONITIC ACID (M-H)-	Trans-Aconitic acid	ME223292	444212	-
TRANS-VACCENIC ACID (M-H)-	trans-vaccenic acid	ME223300	5281127	-
TRICARBALLYLIC ACID (M-H)-[-H2O]	1,2,3-Propanetricarboxylic acid	ME223319	14925	-
TRICOSANOIC ACID (M-H)-	Tricosanoic acid	ME223281	17085	-
TRYPTOPHAN (M-H)-	Tryptophan	ME223294	6305	-
TYROSINE (M-H)-	Tyrosine	ME223271	6057	-
URIC ACID (M-H)-	Uric acid	ME223313	1175	-
URIDINE (M+Cl)-	Uridine	ME223324	6029	-
URIDINE (M-H)-	Uridine	ME223290	6029	-
URSODIOL (M+HCOO)-	Ursodeoxycholic acid	ME223323	31401	-
ZEATIN [ISTD] (M+Cl)-	-	ME223312	449093	-
16:0 LYSO PC (M+H)+	LPC(16:0)	ME223379	460602	-
16:0 LYSO PC (M+Na)+	LPC(16:0)	ME223440	460602	-
18:0 LYSO-PE (M+H)+	LPE(18:0)	ME223465	9547068	-
18:0 LYSO-PE (M+Na)+	LPE(18:0)	ME223456	9547068	-
1-AMINOCYCLOPROPANE-1-CARBOXYLIC ACID (M+H)+	1-Aminocyclopropanecarboxylic acid	ME223411	535	-
1-METHYLADENOSINE (M+H)+	1-Methyladenosine	ME223377	27476	-
3',5'-CYCLIC AMP (M+H)+	3',5' cyclic AMP	ME223474	6076	-
3-DEHYDROXYCARNITINE (M+H)+	3-Dehydroxycarnitine	ME223452	725	-
3-HYDROXYLAUROYLCARNITINE (*) (M+H)+	CAR(12:0(OH))	ME223435	71464535	-
3-METHOXYTYROSINE (M+H)+	3-Methoxytyrosine	ME223433	9307	-
3-METHYLHISTAMINE (M+H)+	3-Methylhistamine	ME223448	69520	-
5ALPHA-ANDROSTANE-3ALPHA,17BETA-DIOL (M+Na)+	3alpha-androstanediol	ME223473	15818	-
5-AMINOPENTANOIC ACID (M+H)+	5-Aminopentanoic acid	ME223464	138	-
5'-METHYLTHIOADENOSINE (M+H)+	5'-Methylthioadenosine	ME223461	439176	-
ACETYLCARNITINE (M+H)+	CAR(2:0)	ME223437	18230	-
ADIPIC ACID (M+Na)+	Adipic acid	ME223400	196	-
ALPHA-TOCOPHEROL (M+H)+	Alpha-tocopherol	ME223425	14985	-
AZELAIC ACID (M+H)+[-H2O]	Azelaic acid	ME223427	2266	-
AZELAIC ACID (M+Na)+	Azelaic acid	ME223380	2266	-
BETA-ALANYL-N(PAI)-METHYL-L-HISTIDINE (M+H)+	-	ME223460	112072	-
BILIVERDIN (M+H)+	Biliverdin	ME223399	5280353	-
BIS(2-ETHYLHEXYL)PHTHALIC ACID (M+Na)+	bis(2-ethylhexyl)phthalic acid	ME223387	8343	-
CAFFEINE (M+H)+	Caffeine	ME223471	2519	-
CARNITINE (M+H)+	Carnitine	ME223444	10917	-
CARNOSINE (M+H)+	Carnosine	ME223466	439224	-
CARNOSINE (M+Na)+	Carnosine	ME223366	439224	-
CHOLESTEROL (M+H)+[-H2O]	Cholesterol	ME223378	5997	-
CITRIC ACID (M+Na)+	Citric acid	ME223375	311	-
CITRULLINE (M+Na)+	Citrulline	ME223467	9750	-
CORTICOSTERONE (M+Na)+	Corticosterone	ME223420	5753	-
CORTISOL (M+H)+	Cortisol	ME223362	5754	-
CORTISOL (M+Na)+	Cortisol	ME223394	5754	-
CORTISONE (M+H)+	Cortisone	ME223382	222786	-
CORTISONE (M+Na)+	Cortisone	ME223418	222786	-
CREATINE (M+H)+	Creatine	ME223450	586	-
DECANOIC ACID (2M+Na)+	Capric acid	ME223423	2969	-
DEHYDROEPIANDROSTERONE (M+H)+	Dehydroepiandrosterone	ME223390	5881	-
DEHYDROEPIANDROSTERONE SULFATE M+[-HSO4]	Dehydroepiandrosterone sulfate	ME223368	12594	-
DESMOSTEROL (M+H)+[-H2O]	Desmosterol	ME223360	439577	-
DIPALMITOYL-GLYCEROL (M+H)+[-H2O]	DG(16:0/16:0)	ME223408	644078	-
DIPALMITOYL-GLYCEROL (M+Na)+	DG(16:0/16:0)	ME223401	644078	-
DODECENOYLCARNITINE (*) II M+	CAR(12:1)	ME223393	53481671	-
EICOSADIENOYLCARNITINE (*) (M+H)+	CAR(20:2)	ME223470	71464509	-
EICOSANOYLCARNITINE (*) (M+H)+	CAR(20:0)	ME223384	53477833	-
FLUCYTOSINE (M+H)+	Flucytosine	ME223389	3366	-
GLUCOSE (M+Na)+	Glucose	ME223372	5793	-
GLUTATHIONE OXIDIZED (M+H2)+2	Glutathione	ME223463	65359	-
GLYCEROL MYRISTATE (M+Na)+	MG(14:0)	ME223415	79050	-
GLYCOCHOLIC ACID (M+H)+	Glycocholic Acid	ME223432	10140	-
GUANINE (M+H)+	Guanine	ME223468	764	-
GUANOSINE (M+H)+	Guanosine	ME223459	6802	-
HEXANOYLCARNITINE (*) M+	CAR(6:0)	ME223434	3246939	-
HIPPURIC ACID (M+H)+	Hippuric acid	ME223419	464	-
HISTAMINE (M+H)+	Histamine	ME223454	774	-
HISTAMINE (M+Na)+	Histamine	ME223451	774	-
HYPOXANTHINE (M+H)+	Hypoxanthine	ME223438	790	-
IBUPROFEN CARBOXYLIC ACID (M+Na)+	-	ME223397	10444113	-
INDOLE-3-ACETIC ACID (M+H)+	Indoleacetic acid	ME223436	802	-
INOSINE 5'-PHOSPHATE (M+H)+	IMP	ME223364	8582	-
INOSINE 5'-PHOSPHATE (M+Na)+	IMP	ME223371	8582	-
INOSINE (M+Na)+	Inosine	ME223417	6021	-
ISO-BUTYRYLCARNITINE (*) (M+H)+	CAR(3:0(2Me))	ME223359	168379	-
ISOVALERYLCARNITINE (*) (M+H)+	CAR(4:0(3Me))	ME223365	169235	-
KYNURENIC ACID (M+H)+	Kynurenic acid	ME223431	3845	-
KYNURENINE (M+H)+	Kynurenine	ME223386	161166	-
L-ARGININE (M+H)+	Arginine	ME223439	6322	-
L-ARGININE (M+Na)+	Arginine	ME223385	6322	-
LEUCINE (M+H)+	Leucine	ME223363	6106	-
L-HISTIDINE (M+H)+	Histidine	ME223445	6274	-
L-HISTIDINE (M+Na)+	Histidine	ME223446	6274	-
L-TRYPTOPHAN-15N2 [ISTD] (M+H)+	Tryptophan	ME223412	16217285	-
LYSINE (M+H)+	Lysine	ME223421	5962	-
LYSINE (M+Na)+	Lysine	ME223407	5962	-
METHIONINE (M+H)+	Methionine	ME223428	6137	-
METHYL BETA-D-GALACTOSIDE (M+Na)+	Methyl beta-D-galactoside	ME223370	94214	-
N6,N6,N6-TRIMETHYL-L-LYSINE (M+H)+	N-6-trimethyllysine	ME223472	440120	-
N-ACETYL-DL-SERINE (M+H)+	N-Acetylserine	ME223453	65249	-
N-ACETYL-DL-SERINE (M+H)+[-H2O]	N-Acetylserine	ME223424	65249	-
N-ACETYL-D-TRYPTOPHAN (M+H)+	N-acetyl-D-tryptophan	ME223442	439917	-
N-ACETYL-D-TRYPTOPHAN (M+Na)+	N-acetyl-D-tryptophan	ME223447	439917	-
NAD (M+H)+	NAD+	ME223430	5893	-
N-ALPHA-ACETYL-L-LYSINE (M+H)+	N(2)-acetyllysine	ME223455	92907	-
NAPROXEN (M+H)+	Naproxen	ME223392	156391	-
N-CYCLOHEXYLFORMAMIDE (M+H)+	N-cyclohexylformamide	ME223413	13017	-
NICOTINAMIDE (M+H)+	Niacinamide	ME223395	936	-
NORADRENALINE (M+H)+[-H2O]	Xi-Norepinephrine	ME223457	951	-
OCTANOYLCARNITINE (*) (M+H)+	CAR(8:0)	ME223373	123701	-
OCTENOYLCARNITINE (*) M+	CAR(8:1)	ME223367	71464472	-
OLEAMIDE (M+H)+	Oleamide	ME223398	5283387	-
OLEAMIDE (M+Na)+	Oleamide	ME223449	5283387	-
OLEIC ACID (M+Na)+	Oleic acid	ME223388	445639	-
OLEOYL-GLYCEROL (M+H)+	MG(18:1)	ME223410	5319879	-
OLEOYL-GLYCEROL (M+Na)+	MG(18:1)	ME223429	5319879	-
OPHTHALMIC ACID (M+H)+	Ophthalmic acid	ME223462	7018721	-
ORNITHINE (M+H)+	Ornithine	ME223404	6262	-
PANTOTHENIC ACID (M+H)+	Pantothenic acid	ME223391	6613	-
PANTOTHENIC ACID (M+Na)+	Pantothenic acid	ME223441	6613	-
PHENYLALANINE (M+H)+	Phenylalanine	ME223443	6140	-
PHOSPHOCREATINE (M+H)+	Phosphocreatine	ME223469	9548602	-
PROLINE (M+H)+	Proline	ME223406	145742	-
PROPIONYLCARNITINE (*) (M+H)+	CAR(3:0)	ME223416	107738	-
PYRIDOXAL (M+H)+[-H2O]	Pyridoxal	ME223426	1050	-
S-ADENOSYL-L-HOMOCYSTEINE (M+H)+	S-Adenosylhomocysteine	ME223409	439155	-
SN-GLYCERO-3-PHOSPHOCHOLINE (M+H)+	sn-glycero-3-phosphocholine	ME223403	439285	-
SUBERIC ACID (M+Na)+	Suberic acid	ME223422	10457	-
TETRADECENOYLCARNITINE (*) M+	CAR(14:1)	ME223402	22833575	-
THEOBROMINE (M+H)+	Theobromine	ME223383	5429	-
THYROXINE (M+H)+	Thyroxine	ME223369	5819	-
TRIMETHYLAMINE (M+H)+	Trimethylamine	ME223458	1146	-
TRYPTOPHAN (M+H)+	Tryptophan	ME223414	6305	-
TRYPTOPHAN (M+Na)+	Tryptophan	ME223405	6305	-
TYROSINE (M+H)+	Tyrosine	ME223396	6057	-
URIC ACID (M+H)+	Uric acid	ME223376	1175	-
URIDINE (M+Na)+	Uridine	ME223374	6029	-
VALINE (M+H)+	Valine	ME223361	6287	-
ZEATIN [ISTD] (M+H)+	-	ME223381	449093	-
ADENOSINE	Adenosine	ME224342	60961	-
DL-ASPARTIC ACID	Aspartic acid	ME224338	424	-
DL-GLUTAMIC ACID	Glutamic acid	ME224343	611	-
HEXOPYRANOSE	Hexose	ME224337	206	-
L-GLUTAMINE	Glutamine	ME224341	5961	-
OLEIC ACID	Oleic acid	ME224339	445639	-
STEARIC ACID	Stearic acid	ME224340	5281	-
XANTHINE	Xanthine	ME224336	1188	-
